,is_weekend,days_since_last_trade,error_rf,error_xgb,error_tuned_xgb
is_weekend,1.0,0.8312195270747121,-0.04663390661738165,-0.020963045388127054,-0.014258014729975978
days_since_last_trade,0.8312195270747121,1.0,-0.013654350876067659,0.028230585378669487,0.033040240628822076
error_rf,-0.04663390661738165,-0.013654350876067659,1.0,0.8659835618033862,0.8681323115852897
error_xgb,-0.020963045388127054,0.028230585378669487,0.8659835618033862,1.0,0.9624521785843357
error_tuned_xgb,-0.014258014729975978,0.033040240628822076,0.8681323115852897,0.9624521785843357,1.0
