Model,RMSE,MAE,MAPE,R2 Score
Random Forest,48.68068448811828,45.066634706496096,25.481933614609087,-9.81617577386231
XGBoost,44.995053488042885,41.570387550684934,23.548971089127875,-8.240382075362328
Tuned XGBoost,44.309690123113064,40.83406126575343,23.122200777984247,-7.961027493887771
