Date,Symbol,Close,Volume,day_of_week,is_weekend,days_since_last_trade,Daily_Return,Volatility_5d,Volatility_20d,Price_momentum,Return_momentum,Volume_momentum,Volatility_change,RF_Pred,XGB_Pred,Tuned_XGB_Pred,Transformer_Pred,Squared_Error,RMSE
2024-12-11,GOOGL,194.9392242,67894100.0,2,False,0,0.055246502,0.029603355,0.018369316,20.8407135,0.116056319,0.890766696,0.01123404,125.04439032249998,120.88391,118.85474,118.85474,5788.84873598005,76.0844842
2024-12-16,GOOGL,196.1962585,44934900.0,0,False,0,0.036034122,0.020748905,0.019862901,1.2570343,0.007281096,0.604243438,0.000886004,106.14873634390004,120.0069,116.95909,116.95909,6278.528871897392,79.2371685
2024-12-18,GOOGL,187.955719,34166100.0,2,False,0,-0.035922643,0.025597749,0.022247368,-1.4166717,-0.006193896,0.604243438,0.003350381,107.04688377840004,114.585045,110.94188,110.94188,5931.131397517919,77.01383899999999
2024-12-19,GOOGL,188.0654602,32265200.0,3,False,0,0.000583867,0.025606144,0.022214195,-1.3069305,-0.005610029,0.604243438,0.003391949,106.91316078500004,116.68668,111.00939,111.00939,5937.637954667327,77.0560702
2024-12-20,GOOGL,190.9586334,63462900.0,4,False,0,0.015383863,0.026676537,0.022269784,1.5862427,0.009773834,1.453350408,0.004406753,110.95802650369995,112.43879,114.772865,114.772865,5804.271306698439,76.1857684
2024-12-27,GOOGL,192.3054504,18891400.0,4,False,0,-0.014519478,0.011701737,0.022375643,1.346817,0.007306694,1.453350408,-0.010673906,101.97589133749996,110.23048,113.907845,113.907845,6146.184532454112,78.39760540000002
2025-01-04,GOOGL,191.337738,,5,True,1,0.0,0.008012334,0.014025148,0.548706,0.003000863,1.453350408,-0.006012814,112.48831336140007,116.282166,112.9367,112.9367,6146.722759477444,78.401038
2025-02-01,GOOGL,203.5389099,,5,True,1,0.0,0.012038718,0.015635637,12.1812286,0.062381469,1.139146197,-0.003596918,128.1056752694,125.320656,128.66849,128.66849,5605.579776002316,74.8704199
2025-02-14,GOOGL,184.7931976,20448400.0,4,False,0,-0.004888865,0.009670638,0.023464175,-0.1097412,-0.000407181,0.944336585,-0.013793537,109.27413490509994,105.94169,107.74771,107.74771,5936.007159521756,77.04548760000002
2025-02-16,GOOGL,184.7931976,,6,True,2,0.0,0.008644194,0.021661984,-0.0898133,-0.000337007,0.944336585,-0.01301779,109.53897651939992,107.7706,109.365395,109.365395,5689.353405064568,75.4278026
2025-02-19,GOOGL,184.8331146,19549400.0,2,False,0,0.008162445,0.005673122,0.020110087,0.039917,0.000280346,0.944336585,-0.014436965,109.60540809479996,109.31467,109.98173,109.98173,5602.729776537116,74.85138459999999
2025-02-20,GOOGL,184.1247864,20441500.0,3,False,0,-0.003832258,0.005935402,0.019579693,-0.6684112,-0.003551912,0.944336585,-0.013644291,109.2394852481,109.87087,109.37174,109.37174,5588.017946080553,74.7530464
2025-07-02,GOOGL,178.6399994,29128900.0,2,False,0,0.015923585,0.010299185,0.014762599,0.1100006,0.000827565,1.976165449,-0.004463414,113.05857307050005,103.41199,100.242256,100.242256,6146.206170212243,78.3977434
2025-07-03,GOOGL,179.5299988,21689700.0,3,False,0,0.004982084,0.010517849,0.014698855,1.0,0.005809648,1.976165449,-0.004181006,117.50955596420006,106.61849,105.35778,105.35778,5501.5180417150705,74.17221879999998
2025-07-04,GOOGL,179.5299988,,4,False,1,0.0,0.010517849,0.014698855,1.0,0.005809648,1.976165449,-0.004181006,117.47246322020004,106.61849,105.35778,105.35778,5501.5180417150705,74.17221879999998
2025-07-31,GOOGL,191.8999939,51329200.0,3,False,0,-0.023558769,0.014523754,0.009637636,-1.2799988,-0.006219284,0.754055527,0.004886118,106.87193282650004,113.31175,115.9213,115.9213,5772.761926749897,75.9786939
2025-08-15,GOOGL,203.8999939,34931400.0,4,False,0,0.00473042,0.007094742,0.012134384,2.4799957,0.01235282,1.206736449,-0.005039642,111.838387755,124.47889,129.03526,129.03526,5604.72838191781,74.8647339
2025-08-17,GOOGL,203.8999939,,6,True,2,0.0,0.004754398,0.012074908,0.5599976,0.002796233,1.206736449,-0.00732051,104.38330147009994,120.115715,120.78163,120.78163,6908.662417412822,83.11836389999999
2025-08-18,GOOGL,203.5,18526600.0,0,False,0,-0.001961716,0.003088483,0.01168468,1.5399933,0.007621129,1.206736449,-0.008596197,105.40578422769998,126.52779,125.42076,125.42076,6096.3677189776,78.07924
2025-08-19,GOOGL,201.5700073,24240200.0,1,False,0,-0.009483994,0.00517572,0.011949862,-1.3699951,-0.006715289,1.206736449,-0.006774141,105.28030739169996,121.38483,120.29935,120.29935,6604.919737974041,81.27065729999998
