Date,RMSE,RMSE_prev,RMSE_next
2024-08-24,48.81349900000001,28.317549000000014,48.81297900000001
2024-08-25,48.81297900000001,48.81349900000001,53.788208299999994
2024-08-31,15.123412000000002,15.342221999999992,16.69429199999999
2024-09-01,16.69429199999999,15.123412000000002,18.792912
2024-09-07,2.66855910000001,3.230419100000006,11.564439100000016
2024-09-08,11.564439100000016,2.66855910000001,11.408498899999984
2024-09-14,22.89494450000001,24.414394499999986,23.529434500000008
2024-09-15,23.529434500000008,22.89494450000001,14.210069599999997
2024-09-21,18.548190299999987,15.316680300000002,22.68735029999999
2024-09-22,22.68735029999999,18.548190299999987,29.81631299999998
2024-09-28,29.27264439999999,35.2008644,27.101254399999988
2024-09-29,27.101254399999988,29.27264439999999,21.81938070000001
2024-10-05,32.7580002,25.319210200000015,40.56368020000001
2024-10-06,40.56368020000001,32.7580002,20.886245900000006
2024-10-12,39.8597149,41.0251689,42.9033199
2024-10-13,42.9033199,39.8597149,28.436284100000023
2024-10-19,30.112107200000025,34.35471720000001,28.226507200000015
2024-10-20,28.226507200000015,30.112107200000025,31.58001279999999
2024-10-26,29.175798299999997,31.78707829999999,38.91956829999998
2024-10-27,38.91956829999998,29.175798299999997,21.966049400000003
2024-11-02,49.15138489999998,45.29763489999999,48.05134489999999
2024-11-03,48.05134489999999,49.15138489999998,23.20353880000002
2024-11-09,52.24379850000001,41.39788849999999,49.0092885
2024-11-10,49.0092885,52.24379850000001,37.950604699999985
2024-11-16,26.614750999999984,24.893230999999986,32.070460999999995
2024-11-17,32.070460999999995,26.614750999999984,25.67071659999999
2024-11-23,38.40443380000001,38.971893800000004,37.5488438
2024-11-24,37.5488438,38.40443380000001,34.69288660000001
2024-11-30,56.11892259999999,37.18947259999999,61.3573626
2024-12-01,61.3573626,56.11892259999999,42.8443752
2024-12-07,36.89415069999998,41.165710700000005,36.87202069999998
2024-12-08,36.87202069999998,36.89415069999998,70.3640064
2024-12-14,43.2409907,43.2409907,58.9994207
2024-12-15,58.9994207,43.2409907,79.2371685
2024-12-21,60.14019339999999,76.1857684,68.7349234
2024-12-22,68.7349234,60.14019339999999,45.980681000000004
2024-12-28,72.28795040000001,78.39760540000002,66.45842040000001
2024-12-29,66.45842040000001,72.28795040000001,62.894662
2025-01-04,78.401038,73.354808,52.045038000000005
2025-01-05,52.045038000000005,78.401038,43.9868917
2025-01-11,39.27591290000001,63.359202900000014,51.728922900000015
2025-01-12,51.728922900000015,39.27591290000001,50.1667803
2025-01-18,43.884195999999974,41.539105999999975,40.12553599999998
2025-01-19,40.12553599999998,43.884195999999974,54.857226
2025-01-25,36.13772450000002,35.98442450000002,48.45860450000001
2025-01-26,48.45860450000001,36.13772450000002,39.86551130000001
2025-02-01,74.8704199,61.97878989999998,57.34359989999999
2025-02-02,57.34359989999999,74.8704199,61.21550259999998
2025-02-08,65.43084879999999,65.02290379999998,65.71616379999999
2025-02-09,65.71616379999999,65.43084879999999,46.874768700000004
2025-02-15,70.70486760000001,77.04548760000002,75.4278026
2025-02-16,75.4278026,70.70486760000001,65.71995760000001
2025-02-22,36.11389340000002,36.18139340000002,47.259463400000016
2025-02-23,47.259463400000016,36.11389340000002,45.66022100000001
2025-03-01,11.844238499999989,13.976948499999992,3.7084084999999902
2025-03-02,3.7084084999999902,11.844238499999989,2.063755200000003
2025-03-08,38.96661750000001,49.362327500000006,43.5670475
2025-03-09,43.5670475,38.96661750000001,34.290983600000004
2025-03-15,60.255321699999996,30.080531699999995,54.8506617
2025-03-16,54.8506617,60.255321699999996,34.9451291
2025-03-22,55.43115250000001,49.2228315,24.611957500000017
2025-03-23,24.611957500000017,55.43115250000001,23.587829099999993
2025-03-29,38.704882100000006,31.915842100000006,22.60322210000001
2025-03-30,22.60322210000001,38.704882100000006,23.52093819999999
2025-04-05,23.502300200000008,21.633156200000002,30.2009702
2025-04-06,30.2009702,23.502300200000008,23.89964549999999
2025-04-12,25.84829690000001,27.075486900000016,22.984096899999997
2025-04-13,22.984096899999997,25.84829690000001,57.6462303
2025-04-19,48.78515389999998,48.77496389999999,43.13452389999999
2025-04-20,43.13452389999999,48.78515389999998,38.20431979999999
2025-04-26,22.736735399999986,41.026725400000004,33.30664540000001
2025-04-27,33.30664540000001,22.736735399999986,33.58819200000001
2025-05-03,3.80230499999999,12.014384999999976,5.268084999999985
2025-05-04,5.268084999999985,3.80230499999999,13.385879399999993
2025-05-10,35.17011760000001,35.868787600000005,36.82417760000001
2025-05-11,36.82417760000001,35.17011760000001,36.12085710000001
2025-05-17,39.500489400000006,48.18243940000001,40.6658494
2025-05-18,40.6658494,39.500489400000006,48.50861300000001
2025-05-24,49.82679639999999,41.82828639999998,40.1367664
2025-05-25,40.1367664,49.82679639999999,65.61729639999999
2025-05-31,26.823648600000013,26.823648600000013,48.3829726
2025-06-01,48.3829726,26.823648600000013,35.41270259999999
2025-06-07,42.468086,47.388636000000005,26.778306000000015
2025-06-08,26.778306000000015,42.468086,38.01602629999999
2025-06-14,48.74780820000001,43.1143682,24.329158200000023
2025-06-15,24.329158200000023,48.74780820000001,53.31554430000001
2025-06-21,33.6304494,35.468319399999984,39.3647534
2025-06-22,39.3647534,33.6304494,28.418002400000006
2025-06-28,56.46266879999999,65.5211988,63.69250479999998
2025-06-29,63.69250479999998,56.46266879999999,56.577565699999994
2025-07-05,36.87804879999999,74.17221879999998,44.40124879999999
2025-07-06,44.40124879999999,36.87804879999999,54.4364473
2025-07-12,18.370192400000008,31.86026240000001,20.456332400000008
